"","STRATA","west_border","east_border","north_border","south_border"
"1","All areas",-Inf,Inf,Inf,-Inf
"2","Strata1",-172.5,Inf,66,64.1
"3","Strata2",-172.5,Inf,64.1,59.9
"4","Strata3",-172.5,-166.75,59.9,57.9
"5","Strata4",-166.75,Inf,59.9,57.9
"6","Strata5",-172.5,-166.75,57.9,54.9
"7","Strata6",-166.75,Inf,57.9,54.9
