"","Category","Time","Stratum","Units","Estimate","Std..Error.for.Estimate","Std..Error.for.ln.Estimate.","STRATA","west_border","east_border","north_border","south_border"
"20",1,2021,"Stratum_1"," [count*km2/km2]",22241.5864405553,5962.29818741914,0.471252260971393,"All areas",-Inf,Inf,Inf,-Inf
"21",1,2022,"Stratum_1"," [count*km2/km2]",19629.3985924167,4615.27553579522,0.438625331786883,"All areas",-Inf,Inf,Inf,-Inf
"22",1,2023,"Stratum_1"," [count*km2/km2]",22890.6476766328,5500.76200612403,0.425774949800868,"All areas",-Inf,Inf,Inf,-Inf
"23",1,2024,"Stratum_1"," [count*km2/km2]",64766.9705846918,17353.270508956,0.475833065681476,"All areas",-Inf,Inf,Inf,-Inf
"24",1,2002,"Stratum_2"," [count*km2/km2]",847.044735135863,284.751944440629,0.535192167968004,"Bering_Strait",-172.5,Inf,66,64.1
"25",1,2003,"Stratum_2"," [count*km2/km2]",2876.38482757677,1135.15448533147,0.637029552605715,"Bering_Strait",-172.5,Inf,66,64.1
"26",1,2004,"Stratum_2"," [count*km2/km2]",1334.28228043788,621.607278412498,0.799083234481484,"Bering_Strait",-172.5,Inf,66,64.1
"27",1,2005,"Stratum_2"," [count*km2/km2]",653.8432124653,328.72280302806,0.994473919064259,"Bering_Strait",-172.5,Inf,66,64.1
"28",1,2006,"Stratum_2"," [count*km2/km2]",1118.08477238711,476.06493501125,0.702164785635453,"Bering_Strait",-172.5,Inf,66,64.1
"29",1,2007,"Stratum_2"," [count*km2/km2]",2900.96539313501,739.751632160404,0.389679936246202,"Bering_Strait",-172.5,Inf,66,64.1
"30",1,2008,"Stratum_2"," [count*km2/km2]",1167.05492710555,720.95056825885,1.45487009203939,"Bering_Strait",-172.5,Inf,66,64.1
"31",1,2009,"Stratum_2"," [count*km2/km2]",3572.68768818631,1345.79309681631,0.614398668592213,"Bering_Strait",-172.5,Inf,66,64.1
"32",1,2010,"Stratum_2"," [count*km2/km2]",2572.86251440616,653.38440803312,0.368698930029617,"Bering_Strait",-172.5,Inf,66,64.1
"33",1,2011,"Stratum_2"," [count*km2/km2]",5413.53902480906,1699.19106330631,0.471998148929875,"Bering_Strait",-172.5,Inf,66,64.1
"34",1,2012,"Stratum_2"," [count*km2/km2]",910.753580762207,412.108801903057,0.656339199084611,"Bering_Strait",-172.5,Inf,66,64.1
"35",1,2013,"Stratum_2"," [count*km2/km2]",884.159874942373,299.804408346321,0.496549644242072,"Bering_Strait",-172.5,Inf,66,64.1
"36",1,2014,"Stratum_2"," [count*km2/km2]",7528.04653495194,1953.74966319339,0.372086085711423,"Bering_Strait",-172.5,Inf,66,64.1
"37",1,2015,"Stratum_2"," [count*km2/km2]",4038.21366763065,1138.32754355448,0.468056777732693,"Bering_Strait",-172.5,Inf,66,64.1
"38",1,2016,"Stratum_2"," [count*km2/km2]",2709.14748773839,936.78553294434,0.590752543180957,"Bering_Strait",-172.5,Inf,66,64.1
"39",1,2017,"Stratum_2"," [count*km2/km2]",2168.22727140359,799.806167537274,0.63508356068127,"Bering_Strait",-172.5,Inf,66,64.1
"40",1,2018,"Stratum_2"," [count*km2/km2]",14625.3742652819,3146.11639772386,0.315188228936355,"Bering_Strait",-172.5,Inf,66,64.1
"41",1,2019,"Stratum_2"," [count*km2/km2]",791.863054283554,251.612444676718,0.543244048046889,"Bering_Strait",-172.5,Inf,66,64.1
"42",1,2020,"Stratum_2"," [count*km2/km2]",0,0,0,"Bering_Strait",-172.5,Inf,66,64.1
"43",1,2021,"Stratum_2"," [count*km2/km2]",2828.81234207162,1011.30590905053,0.540370521228711,"Bering_Strait",-172.5,Inf,66,64.1
"44",1,2022,"Stratum_2"," [count*km2/km2]",2926.98650545576,1097.30565418683,0.564503029561906,"Bering_Strait",-172.5,Inf,66,64.1
"45",1,2023,"Stratum_2"," [count*km2/km2]",4087.09199873201,1331.42096742274,0.499805472122457,"Bering_Strait",-172.5,Inf,66,64.1
"46",1,2024,"Stratum_2"," [count*km2/km2]",8932.63262610665,3654.90535174101,0.650030145805859,"Bering_Strait",-172.5,Inf,66,64.1
"47",1,2002,"Stratum_3"," [count*km2/km2]",16022.2118009588,2534.43197463987,0.220182361602498,"NBS",-172.5,Inf,64.1,59.9
"48",1,2003,"Stratum_3"," [count*km2/km2]",12817.2187567684,2006.45939573391,0.22964320109516,"NBS",-172.5,Inf,64.1,59.9
"49",1,2004,"Stratum_3"," [count*km2/km2]",3825.7208770016,492.495297306882,0.186410000013082,"NBS",-172.5,Inf,64.1,59.9
"50",1,2005,"Stratum_3"," [count*km2/km2]",2921.57842188038,498.227624692048,0.252764106461814,"NBS",-172.5,Inf,64.1,59.9
"51",1,2006,"Stratum_3"," [count*km2/km2]",7149.19155499054,1267.10079664325,0.251839776042311,"NBS",-172.5,Inf,64.1,59.9
"52",1,2007,"Stratum_3"," [count*km2/km2]",11947.7482518124,1798.628413234,0.208055615277552,"NBS",-172.5,Inf,64.1,59.9
"53",1,2008,"Stratum_3"," [count*km2/km2]",3549.93816343619,1797.73718728407,1.13720601904723,"NBS",-172.5,Inf,64.1,59.9
